Year of arrival at port of disembarkation,Total embarked,Total disembarked
1765,117,100
1764,171,151
1765,160,170
1764,221,180
1764,242,207
1765,400,370
1764,417,340
1765,200,171
1764,171,151
1765,525,428
1764,243,198
1765,114,93
1765,304,260
1765,421,360
1765,294,240
1765,184,150
1765,105,93
1765,,
1764,,
1741,204,176
1765,157,130
1766,,
1766,276,209
1765,206,168
1765,160,142
1765,230,197
1765,257,220
1766,98,80
1766,245,200
1766,493,402
1765,10,8
1765,70,60
1766,59,53
1765,193,165
1765,80,76
1766,289,236
1766,376,307
1766,176,151
1767,294,240
1766,148,127
1766,125,107
1766,331,283
1766,429,350
1766,64,56
1766,604,493
1747,368,306
1747,632,525
1752,42,35
1760,259,211
1777,210,195
1779,214,198
1779,359,328
1779,214,198
1779,359,328
1780,359,328
1780,359,328
1768,199,170
1767,83,65
1766,467,400
1766,230,
1767,149,132
1766,60,47
1767,410,375
1768,102,92
1766,83,65
1767,175,143
1766,352,287
1766,230,197
1766,230,197
1767,230,197
1768,380,374
1773,117,100
1767,110,90
1767,388,244
1767,230,197
1767,352,288
1766,352,287
1766,83,65
1767,171,151
1768,310,253
1767,171,151
1767,,
1768,398,325
1767,230,197
1767,352,288
1768,490,260
1767,79,70
1769,500,428
1767,171,151
1768,199,170
1768,74,58
1768,90,80
1767,201,200
1767,102,92
1767,352,287
1768,352,287
1768,455,445
1768,230,197
1767,352,288
1768,121,109
1768,68,60
1769,124,106
1768,352,287
1769,142,129
1769,298,243
1769,130,129
1769,171,151
1769,350,340
1769,133,114
1769,352,287
1769,175,150
1769,195,167
1769,457,373
1770,352,287
1768,102,92
1770,352,287
1769,171,151
1769,352,287
1769,83,65
1769,230,197
1769,171,151
1769,171,151
1770,51,40
1770,110,
1770,500,400
1770,199,170
1770,352,287
1770,140,124
1770,352,288
1771,237,203
1770,171,
1771,135,120
1771,83,65
1771,364,312
1770,352,288
1771,120,90
1771,352,287
1771,83,65
1771,140,120
1772,450,367
1771,400,326
1770,352,288
1771,199,170
1771,352,287
1770,83,65
1771,134,104
1771,580,473
1771,83,65
1771,,
1771,171,151
1771,352,287
1771,352,287
1771,352,287
1772,20,17
1771,230,197
1772,230,197
1771,83,65
1772,352,287
1772,239,195
1772,352,287
1771,83,65
1772,171,151
1772,171,151
1772,230,197
1772,161,138
1771,352,288
1773,230,
1772,352,287
1772,255,245
1772,352,287
1772,171,151
1772,352,288
1773,171,151
1772,110,86
1772,230,197
1772,83,65
1772,171,151
1772,352,287
1772,230,197
1772,352,288
1773,352,288
1773,467,400
1774,352,287
1773,270,220
1772,352,288
1773,234,203
1773,236,1
1773,180,160
1773,352,287
1773,352,287
1773,171,151
1773,352,287
1773,352,287
1773,453,370
1773,352,287
1773,169,150
1773,116,115
1774,58,46
1773,171,151
1774,175,150
1774,102,92
1774,300,245
1774,230,197
1773,171,151
1774,352,287
1774,150,117
1774,83,65
1774,83,65
1774,352,287
1774,102,92
1773,171,151
1774,352,287
1774,316,280
1774,85,75
1775,184,157
1774,230,197
1774,158,140
1774,171,151
1775,171,151
1774,91,82
1775,189,147
1774,228,200
1775,83,65
1776,359,328
1774,83,65
1775,244,216
1775,152,133
1775,171,151
1775,345,281
1775,171,151
1775,184,160
1774,,
1775,83,65
1775,352,287
1775,352,287
1775,171,151
1776,214,197
1776,119,93
1775,352,287
1776,90,80
1775,230,197
1776,26,24
1775,,
1765,175,150
1776,214,197
1775,102,92
1776,5,5
1776,,
1776,113,105
1776,214,198
1777,210,195
1776,214,198
1776,214,198
1777,119,93
1777,214,197
1777,215,200
1769,102,92
1769,171,151
1771,103,91
1770,230,197
1770,352,287
1770,120,106
1770,185,151
1771,113,100
1770,230,197
1714,578,500
1714,272,265
1734,526,450
1777,359,328
1770,513,254
1778,359,328
1771,139,118
1730,317,274
1727,614,531
1725,260,230
1726,295,255
1727,,188
1766,214,190
1716,306,270
1716,273,236
1716,226,200
1731,148,131
1755,180,154
1739,116,99
1756,352,288
1717,212,188
1737,240,197
1771,105,100
1772,267,218
1727,50,44
1748,596,510
1750,331,283
1714,192,154
1731,289,255
1766,52,45
1766,65,51
1765,165,199
1766,62,53
1765,83,65
1765,83,65
1773,83,65
1771,226,204
1727,271,217
1722,237,190
1722,113,100
1730,271,217
1772,250,209
1769,352,287
1737,273,236
1770,375,324
1787,140,
1780,400,400
1765,188,163
1771,0,0
1726,374,342
1714,366,350
1774,135,120
1730,320,283
1728,271,217
1716,578,500
1762,169,150
1768,326,269
1768,200,171
1768,164,140
1768,171,151
1768,83,65
1769,171,151
1770,352,287
1770,87,77
1770,230,197
1770,171,151
1771,171,151
1771,352,287
1771,144,128
1771,140,120
1773,230,197
1772,139,123
1772,230,197
1771,171,151
1772,141,125
1772,152,130
1774,164,140
1773,175,150
1773,171,
1773,230,197
1774,90,77
1773,230,197
1774,180,160
1775,319,260
1773,230,197
1775,292,250
1775,135,120
1776,210,195
1775,171,151
1776,162,150
1776,119,93
1776,247,222
1777,359,328
1773,90,80
1796,232,199
1796,305,299
1797,302,278
1798,322,299
1800,190,176
1801,183,168
1801,105,
1791,106,106
1792,225,217
1793,359,328
1800,389,356
1801,310,279
1795,,
1796,195,193
1797,,
1797,357,327
1788,310,266
1807,114,104
1802,273,250
1803,,
1799,465,426
1800,412,377
1802,308,277
1803,310,279
1805,310,279
1802,245,220
1804,214,192
1793,113,105
1802,333,299
1804,310,279
1803,248,238
1802,300,287
1805,337,303
1807,326,293
1798,283,263
1805,234,192
1801,242,218
1805,270,243
1806,246,221
1807,310,279
1799,439,402
1800,321,294
1804,310,279
1803,273,250
1786,302,
1803,156,136
1804,150,131
1805,156,136
1806,183,160
1784,218,200
1799,202,185
1798,359,328
1801,310,279
1800,368,337
1802,398,358
1786,69,54
1781,400,360
1799,299,276
1788,305,279
1790,274,251
1791,296,283
1793,302,295
1795,299,294
1797,289,284
1798,385,353
1799,369,338
1800,297,272
1802,190,171
1803,310,279
1804,259,233
1806,310,279
1784,224,208
1786,89,83
1787,178,165
1788,177,164
1789,300,278
1790,114,106
1792,121,121
1792,183,182
1784,650,603
1786,625,597
1799,361,331
1798,453,415
1800,455,417
1805,452,337
1806,345,310
1788,531,466
1802,310,279
1803,85,76
1805,192,173
1807,310,279
1794,263,255
1795,261,256
1798,357,340
1800,381,349
1803,269,242
1807,182,164
1799,317,290
1801,247,222
1802,259,233
1803,310,279
1803,201,181
1807,190,184
1785,425,380
1788,289,265
1789,368,336
1794,379,341
1795,366,329
1796,359,328
1796,,
1806,386,347
1801,327,294
1800,338,310
1802,358,322
1803,310,279
1804,376,338
1806,374,336
1807,376,338
1802,298,268
1803,300,270
1805,294,264
1807,378,340
1799,563,516
1801,386,347
1805,,
1807,329,296
1804,184,165
1805,199,179
1807,378,340
1805,343,308
1807,416,374
1788,486,445
1790,343,314
1792,338,335
1793,274,272
1802,240,216
1803,249,224
1804,328,295
1804,325,292
1807,405,364
1797,304,56
1800,409,375
1805,306,275
1806,207,186
1784,227,208
1785,525,
1786,459,420
1787,415,380
1788,397,364
1789,291,267
1791,257,235
1788,448,410
1789,308,282
1790,328,300
1792,431,406
1793,237,217
1795,351,335
1797,381,349
1798,377,345
1800,355,325
1801,235,211
1800,426,390
1801,358,323
1803,440,396
1801,324,267
1798,418,383
1806,507,418
1799,,
1799,,
1789,119,93
1790,328,300
1799,441,404
1800,219,201
1801,310,279
1803,303,272
1804,310,279
1806,295,265
1808,299,269
1800,359,328
1801,226,203
1802,230,207
1803,310,279
1804,170,153
1794,210,195
1795,304,298
1797,365,277
1799,302,277
1781,365,320
1783,504,442
1787,428,392
1789,360,330
1789,379,347
1791,376,344
1792,329,313
1793,,
1791,215,212
1793,206,198
1794,215,210
1796,215,213
1797,214,200
1798,191,175
1795,305,252
1798,360,348
1802,232,209
1796,359,328
1796,359,328
1799,392,359
1801,257,231
1802,270,243
1804,255,229
1804,259,233
1806,256,230
1808,271,244
1804,238,214
1804,,
1802,273,245
1803,265,238
1804,310,279
1807,99,
1787,199,172
1788,,
1793,298,273
1794,359,328
1793,252,231
1795,244,225
1796,240,237
1798,232,217
1799,269,246
1789,,
1783,535,490
1784,469,430
1800,62,48
1799,373,342
1800,365,334
1801,310,279
1803,232,209
1804,,
1798,359,328
1800,272,249
1801,220,198
1802,209,188
1799,90,
1789,251,230
1790,262,240
1792,306,193
1794,359,328
1801,310,279
1804,397,357
1805,310,279
1807,409,368
1802,204,176
1784,61,57
1786,129,120
1798,359,328
1784,240,220
1787,310,290
1804,184,169
1805,184,169
1807,273,250
1793,286,254
1805,242,218
1807,240,216
1791,72,72
1793,81,80
1794,82,82
1801,310,279
1803,333,299
1806,,
1808,270,243
1807,329,296
1781,210,195
1784,178,164
1802,175,161
1803,273,250
1803,20,18
1806,182,168
1806,125,110
1791,164,164
1792,115,107
1793,113,105
1794,113,105
1794,,
1799,164,152
1800,151,140
1805,289,260
1799,332,304
1802,220,198
1803,85,70
1785,151,140
1786,177,164
1792,328,326
1795,328,319
1797,356,326
1798,310,268
1800,210,192
1807,334,300
1786,59,55
1787,27,25
1790,40,37
1783,,
1799,359,328
1802,100,92
1803,273,250
1781,454,416
1800,336,308
1802,340,280
1797,357,322
1798,364,333
1799,,
1798,103,96
1801,337,278
1802,308,277
1804,323,290
1805,311,280
1799,374,343
1801,258,232
1807,310,279
1807,269,242
1805,,
1807,316,284
1802,310,279
1804,291,262
1805,244,219
1807,255,229
1800,359,328
1803,311,280
1805,308,277
1806,310,279
1807,310,279
1799,281,257
1801,310,279
1806,347,312
1807,298,268
1793,296,278
1798,331,303
1801,222,200
1802,220,198
1805,170,153
1787,210,188
1788,359,328
1789,179,164
1791,190,170
1792,242,239
1792,356,326
1793,316,300
1794,,
1804,231,212
1806,273,250
1800,270,247
1802,88,79
1783,210,195
1802,185,166
1802,310,279
1785,226,204
1787,226,204
1783,,
1790,155,142
1796,397,390
1797,396,350
1799,415,380
1801,310,279
1802,278,250
1803,310,279
1806,310,279
1807,284,
1803,246,221
1805,249,224
1807,259,233
1781,68,60
1784,183,170
1781,,
1787,105,82
1785,,
1800,55,50
1790,247,243
1791,253,246
1792,245,228
1793,281,257
1795,351,348
1795,215,197
1806,310,279
1782,210,195
1784,210,195
1785,245,227
1789,340,311
1790,356,326
1792,331,328
1793,353,323
1794,,
1799,212,194
1784,328,300
1786,369,338
1788,366,335
1790,209,191
1792,324,312
1793,154,143
1795,113,105
1796,165,160
1798,167,155
1789,206,142
1791,229,210
1793,240,205
1796,237,217
1797,221,216
1799,236,216
1800,233,213
1801,180,162
1802,167,150
1805,277,249
1807,310,279
1789,81,75
1786,310,266
1790,327,303
1791,305,284
1793,162,150
1795,317,315
1796,289,268
1797,317,313
1798,335,311
1798,,
1787,119,100
1789,38,38
1790,166,152
1791,204,203
1802,304,273
1804,310,279
1796,193,179
1796,,
1795,210,195
1799,210,195
1801,233,213
1784,97,90
1784,437,400
1785,488,447
1787,450,445
1799,371,340
1797,419,393
1798,416,409
1799,429,393
1801,286,257
1802,336,277
1803,307,276
1804,310,279
1807,290,261
1799,128,119
1802,199,182
1803,273,250
1783,650,595
1784,437,400
1786,633,580
1788,537,492
1789,359,328
1790,466,427
1791,473,433
1793,591,541
1793,,
1784,349,320
1785,301,276
1787,278,255
1788,269,246
1790,217,199
1791,237,231
1793,237,234
1793,383,351
1794,432,431
1795,432,430
1797,359,328
1798,471,431
1799,406,372
1800,290,266
1801,310,279
1802,295,265
1803,309,271
1806,120,
1797,,
1782,214,197
1799,338,310
1799,298,273
1801,310,279
1806,367,330
1807,377,339
1789,330,311
1791,300,268
1792,330,279
1794,,
1796,210,195
1789,359,329
1791,433,410
1791,,
1794,360,360
1796,360,357
1797,364,346
1798,359,328
1784,450,420
1799,237,220
1801,289,265
1802,291,267
1803,199,182
1795,180,180
1796,292,291
1797,,
1793,361,331
1795,359,328
1798,368,337
1799,,
1801,,
1800,368,337
1802,407,335
1803,378,340
1807,221,199
1782,650,646
1784,619,586
1785,740,635
1787,609,590
1792,432,408
1793,450,390
1797,453,384
1798,487,446
1799,,
1801,360,324
1804,322,320
1785,177,164
1784,197,180
1785,276,253
1786,240,220
1788,251,230
1789,205,188
1791,210,208
1793,214,210
1795,216,208
1788,650,610
1789,418,383
1789,455,392
1790,479,439
1791,371,358
1793,438,401
1797,,
1796,557,510
1802,295,265
1802,248,223
1802,355,319
1783,231,200
1784,189,175
1785,216,185
1786,256,238
1787,200,191
1789,174,159
1790,251,230
1792,264,240
1793,294,269
1794,298,273
1795,281,275
1796,281,266
1799,284,260
1801,190,171
1807,230,207
1802,216,199
1803,205,193
1804,221,204
1806,182,168
1807,182,168
1792,153,140
1794,172,158
1806,310,279
1808,383,344
1797,86,79
1781,580,530
1783,652,590
1798,214,185
1792,290,258
1792,,
1782,571,545
1782,,
1796,210,195
1803,,
1806,183,160
1799,465,426
1800,289,265
1786,359,328
1802,110,101
1800,332,304
1788,216,204
1793,163,161
1797,340,320
1799,367,341
1802,310,279
1796,277,277
1796,276,273
1797,277,274
1799,299,274
1800,359,
1801,273,250
1802,170,156
1783,359,328
1784,359,328
1786,319,292
1798,303,278
1799,263,241
1806,273,250
1802,326,293
1803,344,309
1804,334,300
1806,334,300
1807,324,291
1802,366,329
1804,357,321
1805,310,279
1806,310,279
1807,313,306
1806,310,279
1807,310,
1784,273,250
1785,367,336
1786,346,317
1787,354,324
1788,349,320
1803,310,279
1796,323,323
1797,345,316
1799,309,283
1800,346,317
1804,140,122
1783,326,299
1784,431,395
1786,341,312
1788,340,315
1790,242,222
1792,276,272
1794,,
1781,250,229
1781,359,328
1807,385,346
1784,400,370
1783,655,600
1785,631,578
1782,210,195
1800,432,396
1802,311,280
1806,310,279
1808,352,316
1799,202,185
1807,389,350
1806,273,250
1808,176,161
1804,412,391
1806,389,350
1806,108,99
1782,520,500
1783,359,328
1798,419,384
1784,360,330
1803,179,164
1799,149,116
1805,110,101
1783,616,564
1796,283,278
1797,329,301
1797,,
1803,348,313
1804,310,279
1781,210,195
1788,210,195
1789,61,57
1790,131,129
1790,113,105
1791,,
1805,164,150
1806,273,250
1791,168,40
1796,359,328
1800,,
1805,165,148
1805,,
1794,,
1798,,
1801,339,305
1803,270,243
1782,400,366
1794,232,212
1780,,
1791,350,382
1792,429,429
1795,431,428
1796,359,328
1798,423,411
1798,,
1798,520,510
1799,558,511
1800,344,315
1801,353,317
1802,333,330
1803,364,327
1803,310,279
1804,222,200
1805,259,233
1805,,
1799,322,295
1800,231,212
1801,310,279
1802,247,222
1804,266,219
1805,185,166
1806,310,279
1788,210,195
1790,110,102
1791,122,118
1792,77,69
1793,210,195
1787,126,116
1788,230,211
1789,228,209
1790,221,202
1791,265,260
1792,235,229
1793,,
1800,265,246
1800,489,448
1802,370,333
1805,335,301
1802,255,230
1803,310,279
1786,500,
1784,317,290
1785,306,280
1805,31,31
1795,,
1803,355,319
1807,119,100
1794,359,328
1792,58,57
1803,234,192
1800,304,282
1801,212,194
1785,113,105
1793,367,367
1796,251,247
1796,,
1805,316,284
1806,310,279
1796,423,421
1785,119,
1783,359,328
1781,276,250
1785,340,350
1786,450,430
1789,358,339
1791,457,419
1792,376,335
1794,468,465
1797,359,328
1797,,
1803,310,279
1807,394,354
1788,330,330
1790,350,297
1790,170,
1789,306,280
1792,272,253
1793,270,198
1794,317,290
1795,318,291
1796,359,328
1799,,
1782,680,623
1783,655,600
1784,344,315
1783,359,328
1792,100,93
1794,113,105
1807,273,250
1803,235,215
1804,227,204
1807,196,176
1791,61,60
1782,359,328
1784,386,351
1784,287,263
1796,249,228
1796,359,328
1797,322,299
1799,326,299
1800,359,328
1802,378,340
1794,,
1791,,
1793,566,518
1806,135,118
1807,138,120
1792,,
1802,273,250
1804,,
1780,214,197
1800,230,211
1781,200,186
1798,235,218
1805,150,150
1806,273,250
1797,105,98
1799,61,57
1787,195,179
1798,359,328
1806,215,194
1780,210,195
1784,,
1793,213,198
1794,210,195
1795,119,100
1804,129,112
1805,137,119
1795,,
1795,,
1796,246,225
1799,179,164
1799,425,389
1792,157,130
1793,131,131
1792,119,93
1801,310,279
1802,417,375
1803,331,272
1793,212,194
1785,557,510
1786,440,360
1788,371,302
1788,,
1797,448,423
1796,394,380
1797,475,435
1798,,
1799,,
1781,469,430
1782,602,593
1783,576,528
1784,472,432
1787,360,240
1788,359,328
1807,267,240
1799,145,135
1780,359,328
1783,764,700
1784,344,315
1785,133,122
1803,379,341
1805,310,279
1799,369,338
1801,237,213
1801,310,279
1803,263,236
1804,271,244
1805,277,249
1807,192,173
1784,450,440
1786,450,388
1806,319,287
1808,325,292
1783,210,195
1784,262,243
1785,248,230
1788,237,220
1791,421,398
1792,448,410
1794,479,439
1795,441,390
1797,483,410
1798,478,438
1800,440,403
1802,310,279
1803,311,280
1804,307,276
1806,256,230
1807,310,279
1799,484,443
1801,337,303
1802,337,303
1803,329,296
1804,329,296
1805,295,265
1796,375,344
1803,310,279
1789,186,170
1791,389,356
1781,,
1794,348,318
1793,223,216
1792,313,268
1796,322,313
1802,310,279
1803,310,279
1804,,
1802,289,260
1803,279,251
1804,304,273
1782,359,328
1784,393,360
1787,333,305
1797,350,345
1798,372,341
1805,290,261
1807,206,185
1806,433,389
1785,359,328
1801,314,282
1802,324,291
1782,547,501
1784,532,487
1787,355,325
1793,43,39
1792,239,232
1793,236,216
1794,,
1789,308,282
1791,463,318
1792,435,407
1793,435,410
1794,,
1795,446,410
1796,359,328
1797,343,314
1799,326,299
1792,245,236
1792,359,328
1806,320,288
1807,242,218
1783,470,447
1785,400,350
1787,,
1800,207,190
1801,354,318
1802,,
1783,119,100
1801,266,239
1802,152,137
1805,,
1791,,
1784,86,80
1798,466,427
1800,474,434
1803,334,300
1804,340,306
1806,310,279
1807,260,234
1801,423,380
1802,429,386
1803,440,396
1805,410,369
1807,434,390
1788,310,266
1799,113,105
1800,173,161
1801,180,165
1802,175,160
1802,105,96
1781,426,390
1799,279,256
1792,171,156
